,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
27,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,2," Pemindahan personel sebagaimana dimaksud pada ayat (1) dilakukan
paling lambat 6 (enam) bulan sejak pelantikan Penjabat Bupati Musi
Rawas Utara.",14-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",2,Cukup jelas.,16,2013
28,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,3," Penyerahan aset dan dokumen sebagaimana dimaksud pada ayat (1)
dilakukan paling lambat 3 (tiga) tahun sejak pelantikan Penjabat
Bupati Musi Rawas Utara.",14-3,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",3,Cukup jelas.,16,2013
29,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,4," Personel sebagaimana dimaksud pada ayat (1) dan ayat (2) meliputi
pegawai negeri sipil yang karena tugas dan kemampuannya
diperlukan oleh Kabupaten Musi Rawas Utara.",14-4,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",4,Cukup jelas.,16,2013
30,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,5," Gubernur Sumatera Selatan mengoordinasikan dan memfasilitasi
pemindahan personel, penyerahan aset, dan dokumen kepada
Kabupaten Musi Rawas Utara.",14-5,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",5,"Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.",16,2013
31,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,6," Gaji dan tunjangan pegawai negeri sipil sebagaimana dimaksud pada
ayat (4), selama belum ditetapkannya Anggaran Pendapatan dan
Belanja Daerah Kabupaten Musi Rawas Utara, dibebankan pada
anggaran pendapatan dan belanja dari asal satuan kerja personel
yang bersangkutan sesuai dengan peraturan perundang-undangan.",14-6,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",6,Cukup jelas.,16,2013
32,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,7," Aset dan dokumen sebagaimana dimaksud pada ayat (1) dan ayat (3)
meliputi:
a. barang milik Kabupaten Musi Rawas yang bergerak dan tidak
bergerak dan/atau yang dikuasai atau dimanfaatkan oleh
Pemerintah Kabupaten Musi Rawas Utara yang berada dalam
wilayah Kabupaten Musi Rawas Utara;
b. Badan Usaha Milik Daerah Kabupaten Musi Rawas yang
kedudukan, kegiatan, dan lokasinya berada di Kabupaten Musi
Rawas Utara;
c. utang piutang Kabupaten Musi Rawas yang kegunaannya untuk
Kabupaten Musi Rawas Utara menjadi tanggung jawab Kabupaten
Musi Rawas Utara; dan
d. dokumen dan arsip yang karena sifatnya diperlukan oleh
Kabupaten Musi Rawas Utara.",14-7,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",7,"Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.",16,2013
33,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,8," Dalam hal ketentuan sebagaimana dimaksud pada ayat (3) dan ayat(7) tidak dilaksanakan atau belum selesai dilaksanakan oleh Bupati
Musi Rawas, Gubernur Sumatera Selatan selaku wakil Pemerintah
wajib menyelesaikannya dalam waktu paling lambat 1 (satu) tahun.",14-8,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",8,Cukup jelas.,16,2013
34,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,9," Pelaksanaan pemindahan personel dan penyerahan aset serta
dokumen sebagaimana dimaksud pada ayat (1) dilaporkan oleh
Gubernur Sumatera Selatan kepada Menteri Dalam Negeri.",14-9,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Musi Rawas dalam wilayah
Kabupaten Musi Rawas Utara.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Musi Rawas kepada Pemerintah
Kabupaten Musi Rawas Utara.
Badan Usaha Milik Daerah (BUMD) Kabupaten Musi Rawas
yang berkedudukan, kegiatan, dan lokasinya berada di
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Musi Rawas Utara diserahkan oleh Pemerintah
Kabupaten Musi Rawas kepada Pemerintah Kabupaten Musi
Rawas Utara.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",9,Cukup jelas.,16,2013
35,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,15,1," Kabupaten Musi Rawas Utara berhak mendapatkan alokasi dana
perimbangan dan dana transfer lainnya sesuai dengan peraturan
perundang-undangan.",15-1,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",1,Cukup jelas.,16,2013
36,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,15,2," Dalam dana perimbangan sebagaimana dimaksud pada ayat (1),
Pemerintah mengalokasikan dana alokasi khusus prasarana
pemerintahan sesuai dengan peraturan perundang-undangan.",15-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",2,Cukup jelas.,16,2013
37,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,15,3," Dana perimbangan sebagaimana dimaksud pada ayat (1) yang berupa
dana transfer ke daerah dialokasikan sesuai dengan kemampuan
keuangan negara sesuai dengan peraturan perundang-undangan.",15-3,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",3,"Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",16,2013
38,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,16,1," Pemerintah Kabupaten Musi Rawas sesuai dengan kesanggupannya
memberikan hibah berupa uang untuk menunjang kegiatan
penyelenggaraan pemerintahan Kabupaten Musi Rawas Utara sebesar
Rp5.000.000.000,00 (lima miliar rupiah) setiap tahun selama 2 (dua)
tahun berturut-turut serta untuk pelaksanaan pemilihan Bupati
dan/atau Wakil Bupati Musi Rawas Utara pertama kali sebesar
Rp5.000.000.000,00 (lima miliar rupiah).",16-1,"Ayat (1)
Yang dimaksud dengan hibah dalam ketentuan ini adalah
pemberian sejumlah dana yang didasarkan pada Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Musi Rawas
Nomor 11 Tahun 2010 tanggal 7 Juni 2010 dan Keputusan
Bupati Musi Rawas Nomor 342/KPTS/I/2009 tanggal 1 Juni
2009, termasuk untuk pelaksanaan pemilihan Bupati dan
Wakil Bupati Musi Rawas Utara pertama kali.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Dewan Perwakilan Rakyat
Daerah Provinsi Sumatera Selatan Nomor 1 Tahun 2009
tanggal 5 Januari 2009 dan Keputusan Gubernur Sumatera
Selatan Nomor 440/KPTS/I/2010 tanggal 28 Juni 2010,
termasuk untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Musi Rawas Utara pertama kali.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",1,"Yang dimaksud dengan hibah dalam ketentuan ini adalah
pemberian sejumlah dana yang didasarkan pada Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Musi Rawas
Nomor 11 Tahun 2010 tanggal 7 Juni 2010 dan Keputusan
Bupati Musi Rawas Nomor 342/KPTS/I/2009 tanggal 1 Juni
2009, termasuk untuk pelaksanaan pemilihan Bupati dan
Wakil Bupati Musi Rawas Utara pertama kali.",16,2013
39,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,16,2," Pemerintah Provinsi Sumatera Selatan memberikan bantuan dana
untuk menunjang kegiatan penyelenggaraan pemerintahan Kabupaten
Musi Rawas Utara sebesar Rp10.000.000.000,00 (sepuluh miliar
rupiah) setiap tahun selama 2 (dua) tahun berturut-turut serta untuk
pelaksanaan pemilihan Bupati dan/atau Wakil Bupati Musi Rawas
Utara pertama kali sebesar Rp7.500.000.000,00 (tujuh miliar lima
ratus juta rupiah).",16-2,"Ayat (1)
Yang dimaksud dengan hibah dalam ketentuan ini adalah
pemberian sejumlah dana yang didasarkan pada Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Musi Rawas
Nomor 11 Tahun 2010 tanggal 7 Juni 2010 dan Keputusan
Bupati Musi Rawas Nomor 342/KPTS/I/2009 tanggal 1 Juni
2009, termasuk untuk pelaksanaan pemilihan Bupati dan
Wakil Bupati Musi Rawas Utara pertama kali.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Dewan Perwakilan Rakyat
Daerah Provinsi Sumatera Selatan Nomor 1 Tahun 2009
tanggal 5 Januari 2009 dan Keputusan Gubernur Sumatera
Selatan Nomor 440/KPTS/I/2010 tanggal 28 Juni 2010,
termasuk untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Musi Rawas Utara pertama kali.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",2,"Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Dewan Perwakilan Rakyat
Daerah Provinsi Sumatera Selatan Nomor 1 Tahun 2009
tanggal 5 Januari 2009 dan Keputusan Gubernur Sumatera
Selatan Nomor 440/KPTS/I/2010 tanggal 28 Juni 2010,
termasuk untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Musi Rawas Utara pertama kali.",16,2013
40,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN DANA",,,,,16,3," Pemberian hibah sebagaimana dimaksud pada ayat (1) dan pemberian
bantuan dana sebagaimana dimaksud pada ayat (2) dimulai sejak
pelantikan Penjabat Bupati Musi Rawas Utara.",16-3,"Ayat (1)
Yang dimaksud dengan hibah dalam ketentuan ini adalah
pemberian sejumlah dana yang didasarkan pada Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Musi Rawas
Nomor 11 Tahun 2010 tanggal 7 Juni 2010 dan Keputusan
Bupati Musi Rawas Nomor 342/KPTS/I/2009 tanggal 1 Juni
2009, termasuk untuk pelaksanaan pemilihan Bupati dan
Wakil Bupati Musi Rawas Utara pertama kali.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Dewan Perwakilan Rakyat
Daerah Provinsi Sumatera Selatan Nomor 1 Tahun 2009
tanggal 5 Januari 2009 dan Keputusan Gubernur Sumatera
Selatan Nomor 440/KPTS/I/2010 tanggal 28 Juni 2010,
termasuk untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Musi Rawas Utara pertama kali.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",3,Cukup jelas.,16,2013
